Matchup,Away,Home,Spread,Over/Under,Status
Bears vs Raiders,Bears,Raiders,,,
Bengals vs Broncos,Bengals,Broncos,,,
Browns vs Lions,Browns,Lions,,,
Chargers vs Giants,Chargers,Giants,,,
Colts vs Rams,Colts,Rams,,,
Commanders vs Falcons,Commanders,Falcons,,,
Eagles vs Buccaneers,Eagles,Buccaneers,,,
Jaguars vs 49ers,Jaguars,49ers,,,
Jets vs Dolphins,Jets,Dolphins,,,
Packers vs Cowboys,Packers,Cowboys,,,
Panthers vs Patriots,Panthers,Patriots,,,
Ravens vs Chiefs,Ravens,Chiefs,,,
Saints vs Bills,Saints,Bills,,,
Seahawks vs Cardinals,Seahawks,Cardinals,,,FINAL
Titans vs Texans,Titans,Texans,,,
Vikings vs Steelers,Vikings,Steelers,,,
