Week,Matchup,Adjusted ML,Adjusted ATS,Guardrail Note,Confidence %
4,Seahawks vs Cardinals,Cardinals,,No major issues,62
4,Vikings vs Steelers,Vikings,,No major issues,62
4,Commanders vs Falcons,Commanders,,McLaurin injury; confidence drop,55
4,Browns vs Lions,Lions,,No major issues,72
4,Titans vs Texans,Texans,,No major issues,62
4,Eagles vs Buccaneers,Eagles,,Evans out; confidence boost,68
4,Saints vs Bills,Bills,,No major issues,80
4,Panthers vs Patriots,Patriots,,No major issues,62
4,Chargers vs Giants,Chargers,,No major issues,62
4,Jaguars vs 49ers,Jaguars,,Bosa out; flip to Jaguars,55
4,Colts vs Rams,Rams,,No major issues,62
4,Bears vs Raiders,Raiders,,No major issues,57
4,Ravens vs Chiefs,Chiefs,,No major issues,62
4,Packers vs Cowboys,Packers,,CeeDee Lamb out; flip to Packers,55
4,Jets vs Dolphins,Dolphins,,No major issues,62
4,Bengals vs Broncos,Broncos,,No major issues,72
