Matchup,Away,Home,Spread,Over/Under
Seahawks @ Cardinals,Seahawks,Cardinals,,
Vikings @ Steelers,Vikings,Steelers,,
Commanders @ Falcons,Commanders,Falcons,,
Browns @ Lions,Browns,Lions,,
Titans @ Texans,Titans,Texans,,
Eagles @ Buccaneers,Eagles,Buccaneers,,
Saints @ Bills,Saints,Bills,,
Panthers @ Patriots,Panthers,Patriots,,
Chargers @ Giants,Chargers,Giants,,
Jaguars @ 49ers,Jaguars,49ers,,
Colts @ Rams,Colts,Rams,,
Bears @ Raiders,Bears,Raiders,,
Ravens @ Chiefs,Ravens,Chiefs,,
Packers @ Cowboys,Packers,Cowboys,,
Jets @ Dolphins,Jets,Dolphins,,
Bengals @ Broncos,Bengals,Broncos,,
Matchup,Away,Home,Spread,Over/Under,Status
Bears vs Raiders,Bears,Raiders,,,
Bengals vs Broncos,Bengals,Broncos,,,
Browns vs Lions,Browns,Lions,,,
Chargers vs Giants,Chargers,Giants,,,
Colts vs Rams,Colts,Rams,,,
Commanders vs Falcons,Commanders,Falcons,,,
Eagles vs Buccaneers,Eagles,Buccaneers,,,
Jaguars vs 49ers,Jaguars,49ers,,,
Jets vs Dolphins,Jets,Dolphins,,,
Packers vs Cowboys,Packers,Cowboys,,,
Panthers vs Patriots,Panthers,Patriots,,,
Ravens vs Chiefs,Ravens,Chiefs,,,
Saints vs Bills,Saints,Bills,,,
Seahawks vs Cardinals,Seahawks,Cardinals,,,FINAL
Titans vs Texans,Titans,Texans,,,
Vikings vs Steelers,Vikings,Steelers,,,
