Week,Away Team,Home Team,Kickoff (raw),Kickoff ISO
3,Miami Dolphins,Buffalo,,
3,Arizona Cardinals,San,,
3,Atlanta Falcons,Carolina,,
3,Cincinnati Bengals,Minnesota,,
3,Dallas Cowboys,Chicago,,
3,Denver Broncos,Los,,
3,Green Bay Packers,Cleveland,,
3,Houston Texans,Jacksonville,,
3,Indianapolis Colts,Tennessee,,
3,Kansas City Chiefs,New,,
3,Las Vegas Raiders,Washington,,
3,Los Angeles Rams,Philadelphia,,
3,New Orleans Saints,Seattle,,
3,New York Jets,Tampa,,
3,Pittsburgh Steelers,New,,
3,Detroit Lions,Baltimore,,
